stock_code,isin_code,company_name,industry,company_description
2415,JP3794520001,ヒューマンホールディングス株式会社,サービス業,スクール運営など教育事業、人材派遣、介護事業へ展開。RPA導入支援・受託も。
2418,JP3835670005,株式会社ツカダ・グローバルホールディング,サービス業,結婚式場運営。邸宅風施設のゲストハウスウエディングが主力。ホテル事業を拡大。
2424,JP3830600007,株式会社ブラス,サービス業,東海地方中心に貸切型ゲストハウスによるハウスウエディング事業。地域拡大指向。
2425,JP3277450007,株式会社ケアサービス,サービス業,通所介護施設運営が主力。葬儀準備事業も。高齢者専用賃貸住宅に力。
2427,JP3105270007,株式会社アウトソーシング,サービス業,工場製造ラインへ人材派遣・請負が主体。拠点は全国、海外。外国人実習生も。
2428,JP3155370004,ウェルネット株式会社,サービス業,コンビニなどの決済・収納代行大手。電子チケット、プリペイド電子マネーも成長。
2429,JP3990220000,株式会社ワールドホールディングス,サービス業,九州地盤に製造派遣・請負。自動車向け主力。都市でマンション開発販売も。
2432,JP3548610009,株式会社ディー・エヌ・エー,サービス業,交流サイト「モバゲー」運営。ゲーム課金が収益の柱。AI、車関連など多角化展開。
2433,JP3766550002,株式会社博報堂ＤＹホールディングス,サービス業,広告業界2位。傘下に博報堂、大広、読売広告社。M&Aで海外展開を加速。
2435,JP3351630003,株式会社シダー,サービス業,介護サービス中堅。有料老人ホームと両輪。リハビリに特色。九州から全国展開へ。
2436,JP3253500007,共同ピーアール株式会社,サービス業,独立系PR会社。企業パブリシティ活動の支援・コンサルが主力。危機管理、セミナーも。
2437,JP3384900001,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,サービス業,高級絵画や陶磁器などオークション企画開催で最大手。再生可能エネルギー関連も。
2438,JP3119670002,株式会社アスカネット,サービス業,ネットで個人写真集を制作。遺影写真加工で高シェア。空中結像・3Dプレートも。
2440,JP3274180003,株式会社ぐるなび,サービス業,飲食店情報サイトを運営。飲食店からの課金収入が収益源。楽天と提携強化。
2445,JP3161560002,株式会社タカミヤ,サービス業,建設用機材レンタル大手。足場、支持工材が主体。次世代足場、制震、農業用も。
2449,JP3833050002,株式会社プラップジャパン,サービス業,PR・広報支援、コンサルが主力。好採算の外資系企業に強み。M&A積極的。
2452,JP3306450002,コンピュータマインド株式会社,ページが見つからないか、エラーが発生しました。,ページが見つからないか、エラーが発生しました。
2453,JP3389670005,ジャパンベストレスキューシステム株式会社,サービス業,不動産業者と提携、個人会員の生活トラブル解決サービス。住宅設備の保証事業。
2454,JP3174050009,株式会社オールアバウト,サービス業,総合ポータルサイト運営。専門家が食や趣味など情報提供。食品サンプリングも。
2459,JP3105310001,アウンコンサルティング株式会社,サービス業,検索連動広告、SEOコンサル事業。多言語・海外向け主軸。不動産事業は撤退。
2461,JP3802840003,株式会社ファンコミュニケーションズ,サービス業,独立系。PC・スマホのアフィリエイト広告仲介でトップクラス。スマフォ向け広告ネットワーク運営も。
2462,JP3386120004,ライク株式会社,サービス業,保育園など子育て支援事業を主に総合人材派遣サービスや介護関連サービスも。
